행정동,면적(㎢),총생활인구수,청소년인구수,청년인구수,중장년인구수,노인인구수,장애인구수,노인_의료복지시설수,노인_주거복지시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,총시설수,인구밀도,노인비율,장애인비율,노인시설수,장애인시설수,시설당_노인수,시설당_장애인수,노인복지점수,장애인복지점수,최종복지점수
능동,1.1,10804.6143,443.22,3885.9107,5037.5165,1437.9671,379.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,9822.376636363635,13.308823990135402,3.5077605685563436,1.0,4.0,1437.9671,94.75,16.207234854044756,14.604107425578519,17.384197423737444
구의1동,0.56,21520.2182,1040.5203,7405.91,10395.3871,2678.4008,799.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,38428.961071428566,12.445974176971868,3.712787633352156,5.0,0.0,535.68016,,39.49639329456958,39.08600110962958,43.31868418720617
구의2동,1.39,18279.3933,1228.036,4196.1211,9541.6625,3313.5737,1034.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,13150.642661870505,18.127372422147072,5.65664288212454,5.0,0.0,662.71474,,35.62334389158586,31.669386631196925,38.23277082445261
구의3동,1.02,24039.7124,1787.3614,5120.2219000000005,13302.5266,3829.6025,775.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,11.0,23568.34549019608,15.930317452549888,3.223832245181103,11.0,0.0,348.1456818181818,,42.123145537129126,28.512251879775892,43.16262942883037
광장동,2.39,29560.0564,3194.4964,5064.7647,17098.9844,4201.8109,700.0,3.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,26.0,12368.224435146443,14.214488778850908,2.368060434417845,26.0,0.0,161.60811153846154,,35.625816513286885,18.55587720218137,35.20493759062938
자양1동,0.57,23386.8973,1652.6082,8451.0282,10357.5441,2925.7168,908.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,41029.644385964915,12.510068191046445,3.882515873535734,5.0,0.0,585.14336,,42.61000099953277,42.75238716345662,46.8768342297432
자양2동,1.68,22006.8276,1186.5096,5286.8055,11762.8767,3770.6358,900.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,13.0,13099.302142857143,17.13393619714638,4.089639889758576,13.0,0.0,290.0489076923077,,37.1163864046105,26.007543358990265,38.224538322593844
자양3동,1.2,24596.4569,1582.2397,6131.5337,12904.606199999998,3978.0773,781.0,0.0,0.0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,19.0,20497.047416666668,16.173375361229365,3.1752540749070244,19.0,0.0,209.3724894736842,,41.52205698606421,26.615862043815362,42.20108823501366
자양4동,1.16,24616.3686,1274.3568,8649.7293,11249.1985,3443.084,925.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,21221.007413793108,13.986969629630911,3.7576622897985037,7.0,0.0,491.86914285714283,,35.946388607780754,30.612211737783174,38.2697749468394
회기동,0.76,17777.0863,1759.8632,9351.9669,4742.324799999999,1922.9314,305.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,23390.903026315787,10.816909855469397,1.7156917329022587,3.0,0.0,640.9771333333333,,24.002467767310925,17.696333974082158,24.88594804741919
